"id","title","location","date","price","currency","beds","description","image_url"
91,"Large open and airy fully furnished loft in Leslieville.","City of Toronto","2022-09-07",5495,"$","1","Kick back and relax in this calming, stylish space. This space is my home and was designed to bring you peace and clarity. Two story loft with cloud sofa and memory foam king mattress. 500 square ...","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
92,"PROMO! Bachelor -Save $1,500-$2,000! - MOST POPULAR STYLE","City of Toronto","2022-08-31",1829,"$","Bachelor/Studio","Hurry! Limited Time offer. Move-in on or before October 1st and get 1-month free rent for October on Select suites Hurry! Limited Time offer. Move-in on or before October 1st and get 1-month free ... FLASH SALE | Incredible Incentives, Virtual Tours &amp; Incredible Suites! Call Today!","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
93,"3 Bedroom Townhouse for Rent - All Utilities Included! Pool/Gym","City of Toronto","2022-09-07",3200,"$","3","2 floor - 3 bedroom, 2 washroom townhouse in a condominium building. Building has pool, gym and sauna. Close to Seneca College Newnham Campus, DVP & Arbor Glen Public School. Available immediately. ...","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
94,"955 Bay near U of T, 1 BD Cond, 31 FL-furnished-$2,550-Av Sept.1","City of Toronto","2022-08-25",2550,"$","1","955 Bay, beautiful view of U of T and Queens Park, new building, access to 9th floor patio, pool. Sauna Hot tub, gym, 31st floor, Furnished with internet included. Only hydro and water extra. No ...","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
95,"2 BEDROOM APARTMENT AT ST CLAIR & SCARLETT  FOR LEASE","City of Toronto","2022-09-06",1850,"$","2","Up for rent is 2 bedroom 1 bathroom apartment located at 2696 ST CLAIR AVE WEST -TTC STOP AT FRONT DOOR -TOP FLOOR OF LOWRISE BUILDING -LARGEC WINDOWS IN EVERY ROOM -COMPLETELY RENOVATED A FEW YEARS ...","https://media.kijiji.ca/api/v1/ca-prod-statics/images/b4/b4719bc5-6024-4ea0-8491-75f213ac873e?rule=kijijica-60-jpg"
96,"Cozy bright basement near Ossington and Bloor- gardening  option","City of Toronto","2022-09-09",1320,"$","1","Looking for a quiet tenant for this clean and cozy, bright, renovated one bedroom basement apartment. Features separate entrance from front of house, high ceilings, full kitchen, and four piece bath. ...","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
97,"Forest Hill Bachelor Apartment For Rent At Avenue & St. Clair","City of Toronto","2022-09-09",1700,"$","Bachelor/Studio","Unfurnished large bachelor apartment in the prestige Forest Hill neibourhood at Avenue & St. Clair! Very bright with large windows overlooking Forest Hill. Very clean and safe. Streetcar station at ...","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
98,"North York Spacious 2 bedroom Apt Steps to Glencairn Subway Stn","City of Toronto","2022-09-09",2400,"$","2","Available to move in NOW! Spacious Unfurnished 1600 squares foot 2-bedroom apartment in the lower level of a custom-build house. Lots of windows and lights. High ceiling. Heated flooring. Central ...","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
99,"One bedroom basement unit separate entrance","City of Toronto","2022-09-09",950,"$","1","I have one bed room basement unit near warden subway station , Eglington town Center for rent , start immediately. You have separated Entre, own kitchen, living room , washroom, need one year lease , ...","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
100,"Basement apt at Kennedy/Eglinton","City of Toronto","2022-09-09",1200,"$","1+Den","Basement apartment available on the Kennedy and Eglinton area. It’s in walking distance to stores, restaurants, schools, park and Kennedy Station. One large bedroom with a large living room with ...","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
101,"3 bedroom, 1 bathroom newly renovated main floor unit","City of Toronto","2022-09-09",2400,"$","3","Newly renovated 3 bedrooms, 1 bath main floor unit in a legal duplex is available for rent in St. Catharines. Spacious open concept kitchen with new appliances, separate place for dining and sun room ...","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
102,"3 bedroom detached main house for rent in Pickering","City of Toronto","2022-09-09",2800,"$","3","3 large size bedrooms, eat in kitchen and large living/dining room Walking distance to schools, plaza, library and Pickering town centre, 401 Kingston & Liverpool intersection Separate entrance legal ...","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
103,"Downtown 2 Bedrooms Apartment for Rent - 191 Sherbourne Street","City of Toronto","2022-09-09",2575,"$","2","Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing.(289) 277 7008Virtual Open House: View our units by clicking ... Beatifully renovated large apartments for rent Dowtown Toronto","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
104,"Downtown 2 Bedroom Apartment for Rent - 201 Sherbourne Street","City of Toronto","2022-09-09",2575,"$","2","Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (647) 699-1574Virtual Open House: View our units by clicking ...","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
105,"SPACIOUS AND RENOVATED BASEMENT APT (FURNISHED) AVAILABLE (RENT)","City of Toronto","2022-09-09",1200,"$","1","Furnished BASEMENT ONE BEDROOM APARTMENT is available From March 1, for rent in Prime Location in house (ST. CLAIR/LANSDOWNE) Available NOVEMBER FIRST, 2022, All Utilities included. IDEAL FOR Couple, ...","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
106,"One full size room for rent","City of Toronto","2022-09-09",1000,"$","Bachelor/Studio","One room, in the main floor, with a small sun room, separate entrance, it's beautiful room with lots of space , super privacy,and clean attached with washroom,big room, furnished, no kitchen, ...","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
107,"1 bedroom apartment - All Inclusive - Oct 1st","City of Toronto","2022-09-09",1500,"$","1","All inclusive, Bright Lower level 1 bedroom apartment featuring 6’8” ceiling height, pot lights, air conditioning, sound proofing, updated bathroom, and shared use of the backyard with my family ...","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
108,"Luxury 1+1 condo for rent - steps to STC, TTC, RT, and 401!","City of Toronto","2022-09-09",2600,"$","1+Den","50 Brian Harrison Way - One bedroom plus den(could be used as office/second bedroom), one washroom unit available for rent. Large balcony with a great north North View. Includes 1 parking spot and 1 ...","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
109,"3 Bedroom House - Apartment, main floor","City of Toronto","2022-09-09",2600,"$","3","3 bedrooms, 1 bathroom on main floor of bungalow house. Hardwood and tile floors (no carpet). Clean and recently updated washroom. NON -SMOKING PROPERTY. NO PETS. Good for a professional couple. ...","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
110,"2 Bedroom condo rental Fairview 401/404","City of Toronto","2022-09-09",2350,"$","1+Den","Luxury 1 + 1 (Den Can Be Used As 2nd Bedroom) Condo. Walk to Subway, 1 Parking Included. App Requirement: No pet, non-smoker, first and last, proof of income, credit check and reference.","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
111,"2 Bedroom, 1 Bathroom Apartment for Rent - 100 Parkway Forest Dr","City of Toronto","2022-09-09",2729,"$","2","These large, pet friendly 1, 2 and 3 bedroom suites are beautifully and functionally designed, and outfitted with stainless steel appliance and private balconies. Located in Parkway Forest near Don ... Incredible Incentives, Virtual Tours &amp; Incredible Suites! Call Today!","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
112,"PROMO! 1 Bedroom| Wellesley Village |Save $3000-$3500 if you APP","City of Toronto","2022-09-09",2179,"$","1","Incredible SUMMER discounts for you!!! Move-in on or before September 1 and get 1-month free! 1 MONTH FREE - FOR A LIMITED TIME ONLY! Final Days of this incredible offer, call us today and do not ...","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
113,"Toronto Yorkville Downtown Apartment for Rent","City of Toronto","2022-09-09",0,"N/A","1","Fantastic Bloor Street Location (388 Bloor Street East) In Rosedale With Great Value Available From October 1st. Spacious & Bright One Bedroom W/ Ample Storage Like The Walk-In Closet & Locker. Two ...","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
114,"High level yonge and sheppard 1 bedroom condo rental","City of Toronto","2022-09-09",2300,"$","1","Luxury 1 bedroom high floor unit. 9' ceiling. Conveniently located just steps from Sheppard and Yonge. S/S Appliances. 1 Parking spot and 1 locker. App Requirement: No pet, non-smoker, first and ...","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
115,"House for lease in Innisfil","City of Toronto","2022-09-09",0,"N/A","4","This Family Favourite Is Finished From Top To Bottom And Recently Updated! The Layout Is Sure To Please With Elegant Sunlit Living And Dining Room Combination Modern Kitchen With Quartz Countertops ...","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
116,"3 bed Basement for rent","City of Toronto","2022-09-09",1450,"$","3","3 bedroom basement for rent in scarborough major intersection Markham road and lawrance just few minutes walk to bus stop ,banks ,malls, schools and grocery stores.Hardwood floor,tiled in kitchen and ...","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
117,"Apartment for Rent Above Ground with Large Patio, All Year BBQ","City of Toronto","2022-09-09",2750,"$","1","Apartment for Rent Luxury in the 401/Kingston Rd area in Scarborough. Very close to all TTC, GO Train, shopping. 10 minutes away from University Of Toronto, Centennial College Campuses. Very quiet ...","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
118,"Downtown new 1 bedroom condo","City of Toronto","2022-09-09",2600,"$","1","This one-year-old condo is located in the heart of the city. With its high-end condos, abundant green space, parks, and historic sites, Fort York is a safe downtown neighborhood. Gorgeous ...","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
119,"85-95 Gamble Ave. - 2Br. ""Newly Renovated Suites""","City of Toronto","2022-09-09",2200,"$","2","Apartment for Rent in Toronto managed by Q Residential Ask about our Parking Promotion!!! Key Property Details Beautiful & Well Maintained Building Spacious living room & Plenty of closet space ...","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
120,"1 Bedroom Apartments for Rent on Bathurst Street","City of Toronto","2022-09-09",1932,"$","1","Join Us for Our In-person Open House Every Tuesday, from 4 pm - 6 pm. Call Now to Reserve Your Spot! With easy access to Hwy 401, these Bachelor, 1, and 2 Bedroom apartment rentals offer great access ... Join Us for Our In-person Open House Every Tuesday, from 4 pm - 6 pm. Call Now to Reserve Your Spot!","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
121,"2 Bedroom Apartments for Rent on Bathurst Street, North York","City of Toronto","2022-09-09",2170,"$","2","Key Features Professionally Managed by Landlord Property and Rental Management Inc. Newly Renovated Functional floorplan Hardwood Flooring throughout Galley-style kitchen with fridge and stove Nicely ... Apartments in Toronto for Rent!","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
122,"2 Bedroom Apartments for Rent in Toronto","City of Toronto","2022-09-09",2332,"$","2","***Join us for our Open House Every Wednesday From 4:00 pm - 6:00pm*** *Enjoy a $500 Gift Card Conditions May Apply. Contact us for Details.* Ideally situated just off HWY 401, this great location is ... Ask About our Rental Incentive!","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
123,"1 Bedroom Apartments for Rent in Toronto","City of Toronto","2022-09-09",1874,"$","1","***Join us for our Open House Every Wednesday From 4:00 pm - 6:00pm*** *Enjoy a $500 Gift Card Conditions May Apply. Contact us for Details.* Ideally situated just off HWY 401, this great location is ... Ask About our Rental Incentive!","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
124,"1 Bedroom Apartments for Rent in Toronto","City of Toronto","2022-09-09",1842,"$","1","*Join Us for Our Open House Every Wednesday from 4:00-6:00 pm* Ideally situated just off HWY 401, this great location is surrounded by Clanton and Earl Bales Parks. It is the perfect rental in North ... Ask About our Rental Incentive!","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
125,"1 Bedroom Apartments for Rent on Bathurst Street, North York","City of Toronto","2022-09-09",1850,"$","1","Key Features Professionally Managed by Landlord Property and Rental Management Inc. Newly Renovated Functional floorplan Hardwood Flooring throughout Galley-style kitchen with fridge and stove Nicely ... Apartments in Toronto for Rent!","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
126,"2 Bedroom Apartments for Rent on Bathurst Street","City of Toronto","2022-09-09",2399,"$","2","Join Us for Our In-person Open House Every Wednesday & Friday, from 4pm to 6pm. Call Now to Reserve Your Spot! Experience the charm of this historic three-story Toronto apartment building with a ... 1 Month FREE on 13 Month Lease","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
127,"Basement Markham","City of Toronto","2022-09-09",1650,"$","2","Basement In High Desirable Community In Markham. Separate Enterance Ideal for a single individual or couple that are Working professionals 2 Bedrooms ,1 Washroom , Excellent Location For Transit ...","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
128,"2 Bedroom Condo for rent (DOWNTOWN TORONTO)","City of Toronto","2022-09-09",3500,"$","2","Beautiful Luxury Condo In The Heart Of The Downtown Core! 2 Bedrooms With 2 Full Washrooms! Welcome To Infinity T'S Astro Unit! This Is One Of The Largest 2+Den Units In The Entire Building Boasting ...","https://ca.classistatic.com/static/V/11161/img/srp-icons/additional-options-badge.svg"
129,"Parkdale Bachelor Apartment for Rent - 140 Jameson Avenue","City of Toronto","2022-09-09",1549,"$","Bachelor/Studio","Current Promotions Please view our available units by clicking on the virtual tour below. Call now: (437) 886-5105Virtual Open House: Please view our available units by clicking on the virtual tour ...","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
130,"Parkdale 1 Bedroom Apartment for Rent - 140 Jameson Avenue","City of Toronto","2022-09-09",1899,"$","1","Current Promotions Please view our available units by clicking on the virtual tour below. Call now: (437) 886-5105Virtual Open House: Please view our available units by clicking on the virtual tour ...","https://media.kijiji.ca/api/v1/ca-prod-statics/images/cc/cc970248-61f8-4e42-9893-cba5f8177538?rule=kijijica-60-jpg"
131,"Parkdale 2 Bedroom Apartment for Rent - 90 Jameson Avenue","City of Toronto","2022-09-09",2349,"$","2","Current Promotions Please view our available units by clicking on the virtual tour below. Call now: (437) 886-5105Virtual Open House: Please view our available units by clicking on the virtual tour ...","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
132,"Parkdale 1 Bedroom Apartment for Rent - 146 Jameson Avenue","City of Toronto","2022-09-09",1849,"$","1","Current Promotions Please view our available units by clicking on the virtual tour below. Call now: (437) 886-5105Virtual Open House: Please view our available units by clicking on the virtual tour ...","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
133,"Parkdale Bachelor Apartment for Rent - 90 Jameson Avenue","City of Toronto","2022-09-09",1599,"$","Bachelor/Studio","Current Promotions Please view our available units by clicking on the virtual tour below. Call now: (437) 886-5105Virtual Open House: Please view our available units by clicking on the virtual tour ...","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/49/491f8d2f-ec8d-4f96-8734-2ed435902357?rule=kijijica-96-jpg"
134,"Jameson and Lakeshore Parkdale 1 Bedroom Apartment for Rent - 90","City of Toronto","2022-09-09",1949,"$","1","Current Promotions Please view our available units by clicking on the virtual tour below. Call now: (437) 886-5105Virtual Open House: Please view our available units by clicking on the virtual tour ...","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/82/82c3c011-7566-4c5b-b6d6-4c293d36b4ac?rule=kijijica-96-jpg"
135,"FULLY RENOVATED LARGE 1 BR APARTMENT","City of Toronto","2022-09-09",1700,"$","1","Take a chance because there are only two 1 BR. Apartments on the entire floor laundry as well. The Building is in exclusive environments, with many types of Shops and Ristorantes also only 2 minutes ...","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/1e/1ee064d2-dbe0-4582-b663-12a1aed934fc?rule=kijijica-96-jpg"
136,"Brand New Condo for Rent","City of Toronto","2022-08-31",0,"N/A","1+Den","1+1 New Condo on Keele and Eglinton (Toronto), never lived in, asking for $2200 plus utilities, with close proximity to York University.","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
137,"NEW |  Renovated 1 Bedroom Apartment | Call Today!","City of Toronto","2022-09-09",2239,"$","1","Hurry! Limited Time offer. Move-in on or before October 1st and get 1-month free rent for October on Select suites Hurry! Limited Time offer. Move-in on or before October 1st and get 1-month free ... Incentives, Virtual Tours &amp; Incredible Suites! Call Today.","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
138,"2 Bedroom Apartment for Rent Steps to Victoria Park Station!","City of Toronto","2022-08-21",2475,"$","2","Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ... Proudly Managed by Realstar Management! Cambridge Place Apartments Offers Bachelor, 1, 1-Bedroom Large, 2 and 3-Bedroom Suites! Office Open Daily!","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
139,"BUY WITH ZERO DOWN, 5% OR RENT TO OWN PROGRAM","City of Toronto","2022-09-03",0,"N/A","4","****Buy Any house with Zero Down or Rent-To-Own Program or 5% or 10% down payment based on your qualifications For Buyers -Buy House with Zero Down Payment Program -RENT-TO-OWN Program* -Buy House ...","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
140,"One Bedroom Suite  | Niagara West for Rent","City of Toronto","2022-09-07",2409,"$","1","Utilities Included Sewage Garbage Collection Building Features Elevators Fitness room Public transit Shopping nearby Parks nearby Schools nearby Near Clinics or Hospitals 24 Hour Concierge Service ... Luxury, Pet Friendly Apartments in King West Toronto!","https://media.kijiji.ca/api/v1/ca-prod-statics/images/a8/a83f2c03-d7d9-42a7-8578-b8d3e57f5848?rule=kijijica-60-jpg"
141,"Cozy bright basement near Ossington and Bloor- gardening  option","City of Toronto","2022-09-09",1320,"$","1","Looking for a quiet tenant for this clean and cozy, bright, renovated one bedroom basement apartment. Features separate entrance from front of house, high ceilings, full kitchen, and four piece bath. ...","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
142,"Forest Hill Bachelor Apartment For Rent At Avenue & St. Clair","City of Toronto","2022-09-09",1700,"$","Bachelor/Studio","Unfurnished large bachelor apartment in the prestige Forest Hill neibourhood at Avenue & St. Clair! Very bright with large windows overlooking Forest Hill. Very clean and safe. Streetcar station at ...","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
143,"North York Spacious 2 bedroom Apt Steps to Glencairn Subway Stn","City of Toronto","2022-09-09",2400,"$","2","Available to move in NOW! Spacious Unfurnished 1600 squares foot 2-bedroom apartment in the lower level of a custom-build house. Lots of windows and lights. High ceiling. Heated flooring. Central ...","https://ca.classistatic.com/static/V/11161/img/placeholder-large.png"
144,"One bedroom basement unit separate entrance","City of Toronto","2022-09-09",950,"$","1","I have one bed room basement unit near warden subway station , Eglington town Center for rent , start immediately. You have separated Entre, own kitchen, living room , washroom, need one year lease , ...","https://media.kijiji.ca/api/v1/ca-prod-statics/images/97/972942e3-c8bc-4e16-be5b-37744270b4d1?rule=kijijica-60-jpg"
145,"Basement apt at Kennedy/Eglinton","City of Toronto","2022-09-09",1200,"$","1+Den","Basement apartment available on the Kennedy and Eglinton area. It’s in walking distance to stores, restaurants, schools, park and Kennedy Station. One large bedroom with a large living room with ...","https://ca.classistatic.com/static/V/11161/img/srp-icons/icon-location-pin.svg"
146,"3 bedroom, 1 bathroom newly renovated main floor unit","City of Toronto","2022-09-09",2400,"$","3","Newly renovated 3 bedrooms, 1 bath main floor unit in a legal duplex is available for rent in St. Catharines. Spacious open concept kitchen with new appliances, separate place for dining and sun room ...","https://ca.classistatic.com/static/V/11161/img/icon/icon-attributes-numberbedrooms.svg"
147,"3 bedroom detached main house for rent in Pickering","City of Toronto","2022-09-09",2800,"$","3","3 large size bedrooms, eat in kitchen and large living/dining room Walking distance to schools, plaza, library and Pickering town centre, 401 Kingston & Liverpool intersection Separate entrance legal ...","https://ca.classistatic.com/static/V/11161/img/srp-icons/additional-options-badge.svg"
148,"Downtown 2 Bedrooms Apartment for Rent - 191 Sherbourne Street","City of Toronto","2022-09-09",2575,"$","2","Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing.(289) 277 7008Virtual Open House: View our units by clicking ... Beatifully renovated large apartments for rent Dowtown Toronto","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/df/df8166bf-463a-46c6-ac45-ece4d93fcba6?rule=kijijica-96-jpg"
149,"Downtown 2 Bedroom Apartment for Rent - 201 Sherbourne Street","City of Toronto","2022-09-09",2575,"$","2","Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (647) 699-1574Virtual Open House: View our units by clicking ...","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/b4/b42753a4-6949-4146-aaf0-c12b818d5fa5?rule=kijijica-96-jpg"
150,"SPACIOUS AND RENOVATED BASEMENT APT (FURNISHED) AVAILABLE (RENT)","City of Toronto","2022-09-09",1200,"$","1","Furnished BASEMENT ONE BEDROOM APARTMENT is available From March 1, for rent in Prime Location in house (ST. CLAIR/LANSDOWNE) Available NOVEMBER FIRST, 2022, All Utilities included. IDEAL FOR Couple, ...","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/c5/c5b5ab68-bcfc-43db-bd10-e8faebdc41c0?rule=kijijica-96-jpg"
151,"One full size room for rent","City of Toronto","2022-09-09",1000,"$","Bachelor/Studio","One room, in the main floor, with a small sun room, separate entrance, it's beautiful room with lots of space , super privacy,and clean attached with washroom,big room, furnished, no kitchen, ...","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/27/275ec935-6083-4735-8566-501ffd8cb7f9?rule=kijijica-96-jpg"
152,"1 bedroom apartment - All Inclusive - Oct 1st","City of Toronto","2022-09-09",1500,"$","1","All inclusive, Bright Lower level 1 bedroom apartment featuring 6’8” ceiling height, pot lights, air conditioning, sound proofing, updated bathroom, and shared use of the backyard with my family ...","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/de/de4b40f4-7369-4d42-959d-027458ad3cb2?rule=kijijica-96-jpg"
153,"Luxury 1+1 condo for rent - steps to STC, TTC, RT, and 401!","City of Toronto","2022-09-09",2600,"$","1+Den","50 Brian Harrison Way - One bedroom plus den(could be used as office/second bedroom), one washroom unit available for rent. Large balcony with a great north North View. Includes 1 parking spot and 1 ...","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/21/21b53e27-dc33-438a-869b-0c755691a009?rule=kijijica-96-jpg"
154,"3 Bedroom House - Apartment, main floor","City of Toronto","2022-09-09",2600,"$","3","3 bedrooms, 1 bathroom on main floor of bungalow house. Hardwood and tile floors (no carpet). Clean and recently updated washroom. NON -SMOKING PROPERTY. NO PETS. Good for a professional couple. ...","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/ee/eebcb8b0-30dd-40dd-a14b-20668259a92d?rule=kijijica-96-jpg"
155,"2 Bedroom condo rental Fairview 401/404","City of Toronto","2022-09-09",2350,"$","1+Den","Luxury 1 + 1 (Den Can Be Used As 2nd Bedroom) Condo. Walk to Subway, 1 Parking Included. App Requirement: No pet, non-smoker, first and last, proof of income, credit check and reference.","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/08/08391646-e77f-41c7-b0ec-29f3087d8181?rule=kijijica-96-jpg"
